UID        PID  PPID  C STIME TTY          TIME CMD
root      2488     1  0 15:47 ?        00:00:00 /usr/bin/perl /usr/share/system-tools-backends-2.0/scripts/SystemToolsBackends.pl -m Platform
hengyang  2509     1  0 15:47 ?        00:00:00 /usr/lib/gvfs/gvfsd-metadata
root      2526   963  0 15:47 ?        00:00:00 /sbin/dhclient -d -sf /usr/lib/NetworkManager/nm-dhcp-client.action -pf /run/sendsigs.omit.d/network-manager.dhclient-wlan0.pid -lf /var/lib/NetworkManager/dhclient-ae0fb33c-4f69-4929-888e-9b4a15da07f9-wlan0.lease -cf /var/lib/NetworkManager/dhclient-wlan0.conf wlan0
nobody    2537   963  0 15:47 ?        00:00:00 /usr/sbin/dnsmasq --no-resolv --keep-in-foreground --no-hosts --bind-interfaces --pid-file=/run/sendsigs.omit.d/network-manager.dnsmasq.pid --listen-address=127.0.1.1 --conf-file=/var/run/NetworkManager/dnsmasq.conf --cache-size=0 --proxy-dnssec --enable-dbus=org.freedesktop.NetworkManager.dnsmasq --conf-dir=/etc/NetworkManager/dnsmasq.d
root      2661     1  0 15:47 ?        00:00:00 nmbd -D
hengyang  2677     1  0 15:47 ?        00:00:00 mate-terminal
hengyang  2681  2677  0 15:47 ?        00:00:00 gnome-pty-helper
hengyang  2682  2677  0 15:47 pts/0    00:00:00 bash
hengyang  2811  1952  0 15:47 ?        00:00:00 /usr/bin/python /usr/bin/mintupdate-launcher
hengyang  2814  2811  0 15:47 ?        00:00:00 sh -c /usr/lib/linuxmint/mintUpdate/mintUpdate.py
hengyang  2815  2814  0 15:47 ?        00:00:00 python /usr/lib/linuxmint/mintUpdate/mintUpdate.py
root      2820     2  0 15:47 ?        00:00:00 [cifsiod]
root      2823     2  0 15:47 ?        00:00:00 [cifsd]
hengyang  2864     1  1 15:47 ?        00:00:01 google-drive-ocamlfuse /home/hengyang/GoogleDrive/
root      2872     1  0 15:47 ?        00:00:00 /usr/sbin/cupsd -f
hengyang  2918     1 25 15:48 ?        00:00:16 /usr/lib/firefox/firefox
hengyang  3068  2677  0 15:48 pts/5    00:00:00 bash
root      3121     2  0 15:48 ?        00:00:00 [kworker/0:3]
hengyang  3149  3068  0 15:49 pts/5    00:00:00 ps -ef
